,Word,Start_time,End_time,Log_Freq_HAL,gpt_window=300,WordRate,,,,,,,,,,,,,,,,,,,
0,Out,0.74,1.38,,,1,,,,,,,,,,,,,,,,,,,
1,on,1.38,1.62,,,1,,,,,,,,,,,,,,,,,,,
2,the,1.62,1.74,,,1,,,,,,,,,,,,,,,,,,,
3," bay,",1.74,2.02,,,1,,,,,,,,,,,,,,,,,,,
4,Mouse,2.48,2.7,,,1,,,,,,,,,,,,,,,,,,,
5,paddles,2.7,3.28,,,1,,,,,,,,,,,,,,,,,,,
6,around,3.28,3.7,,,1,,,,,,,,,,,,,,,,,,,
7,in,3.7,3.92,,,1,,,,,,,,,,,,,,,,,,,
8,his,3.92,4.14,,,1,,,,,,,,,,,,,,,,,,,
9,boat.,4.14,4.52,,,1,,,,,,,,,,,,,,,,,,,
10,He,5.44,5.62,,,1,,,,,,,,,,,,,,,,,,,
11,rows,5.62,6.06,,,1,,,,,,,,,,,,,,,,,,,
12," forward,",6.06,6.62,,,1,,,,,,,,,,,,,,,,,,,
13,but,7.06,7.46,,,1,,,,,,,,,,,,,,,,,,,
14,a,7.46,7.72,,,1,,,,,,,,,,,,,,,,,,,
15,big,7.72,8,,,1,,,,,,,,,,,,,,,,,,,
16,wave,8,8.46,,,1,,,,,,,,,,,,,,,,,,,
17,sets,8.46,8.88,,,1,,,,,,,,,,,,,,,,,,,
18,him,8.88,9.08,,,1,,,,,,,,,,,,,,,,,,,
19,back.,9.08,9.52,,,1,,,,,,,,,,,,,,,,,,,
20,He,10.4,10.84,,,1,,,,,,,,,,,,,,,,,,,
21,rows,10.84,11.2,,,1,,,,,,,,,,,,,,,,,,,
22," again,",11.2,11.68,,,1,,,,,,,,,,,,,,,,,,,
23,but,12.02,12.86,,,1,,,,,,,,,,,,,,,,,,,
24,the,12.86,13.04,,,1,,,,,,,,,,,,,,,,,,,
25,waves,13.04,13.34,,,1,,,,,,,,,,,,,,,,,,,
26,toss,13.34,13.88,,,1,,,,,,,,,,,,,,,,,,,
27,him,13.88,14.1,,,1,,,,,,,,,,,,,,,,,,,
28,back,14.1,14.4,,,1,,,,,,,,,,,,,,,,,,,
29,again.,14.4,14.8,,,1,,,,,,,,,,,,,,,,,,,
30,Mouse,16,16.2,,,1,,,,,,,,,,,,,,,,,,,
31,thinks,16.2,16.5,,,1,,,,,,,,,,,,,,,,,,,
32,the,16.5,16.74,,,1,,,,,,,,,,,,,,,,,,,
33,paddle,16.74,17.1,,,1,,,,,,,,,,,,,,,,,,,
34,doesn't,17.1,17.52,,,1,,,,,,,,,,,,,,,,,,,
35,work,17.52,17.82,,,1,,,,,,,,,,,,,,,,,,,
36,very,17.82,18.14,,,1,,,,,,,,,,,,,,,,,,,
37,well.,18.14,18.42,,,1,,,,,,,,,,,,,,,,,,,
38,There's,19.58,20.18,,,1,,,,,,,,,,,,,,,,,,,
39,got,20.18,20.5,,,1,,,,,,,,,,,,,,,,,,,
40,to,20.5,20.74,,,1,,,,,,,,,,,,,,,,,,,
41,be,20.74,21.02,,,1,,,,,,,,,,,,,,,,,,,
42,a,21.02,21.3,,,1,,,,,,,,,,,,,,,,,,,
43,better,21.3,21.6,,,1,,,,,,,,,,,,,,,,,,,
44," way,",21.6,22.06,,,1,,,,,,,,,,,,,,,,,,,
45,he,22.1,22.32,,,1,,,,,,,,,,,,,,,,,,,
46,says.,22.32,22.84,,,1,,,,,,,,,,,,,,,,,,,
47,Mouse,24.48,24.8,,,1,,,,,,,,,,,,,,,,,,,
48,pokes,24.8,25.44,,,1,,,,,,,,,,,,,,,,,,,
49,a,25.44,25.66,,,1,,,,,,,,,,,,,,,,,,,
50,hole,25.66,25.92,,,1,,,,,,,,,,,,,,,,,,,
51,in,25.92,26.1,,,1,,,,,,,,,,,,,,,,,,,
52,the,26.1,26.24,,,1,,,,,,,,,,,,,,,,,,,
53,bottom,26.24,26.46,,,1,,,,,,,,,,,,,,,,,,,
54,of,26.46,26.68,,,1,,,,,,,,,,,,,,,,,,,
55,the,26.68,26.82,,,1,,,,,,,,,,,,,,,,,,,
56,boat.,26.82,27.2,,,1,,,,,,,,,,,,,,,,,,,
57,Tossing,28.46,29.02,,,1,,,,,,,,,,,,,,,,,,,
58,the,29.02,29.24,,,1,,,,,,,,,,,,,,,,,,,
59," paddle,",29.24,29.6,,,1,,,,,,,,,,,,,,,,,,,
60,he,29.96,30.1,,,1,,,,,,,,,,,,,,,,,,,
61,sticks,30.1,30.66,,,1,,,,,,,,,,,,,,,,,,,
62,his,30.66,30.92,,,1,,,,,,,,,,,,,,,,,,,
63,feet,30.92,31.22,,,1,,,,,,,,,,,,,,,,,,,
64,through,31.22,31.52,,,1,,,,,,,,,,,,,,,,,,,
65,the,31.52,31.74,,,1,,,,,,,,,,,,,,,,,,,
66,hole.,31.74,32.1,,,1,,,,,,,,,,,,,,,,,,,
67,Mouse,33.16,33.46,,,1,,,,,,,,,,,,,,,,,,,
68,walks,33.46,33.88,,,1,,,,,,,,,,,,,,,,,,,
69,along,33.88,34.2,,,1,,,,,,,,,,,,,,,,,,,
70,the,34.2,34.42,,,1,,,,,,,,,,,,,,,,,,,
71,bottom,34.42,34.68,,,1,,,,,,,,,,,,,,,,,,,
72,of,34.68,34.9,,,1,,,,,,,,,,,,,,,,,,,
73,the,34.9,35.02,,,1,,,,,,,,,,,,,,,,,,,
74,bay.,35.02,35.24,,,1,,,,,,,,,,,,,,,,,,,
75,He,35.8,36.3,,,1,,,,,,,,,,,,,,,,,,,
76,holds,36.3,36.64,,,1,,,,,,,,,,,,,,,,,,,
77,the,36.64,36.82,,,1,,,,,,,,,,,,,,,,,,,
78,boat,36.82,37.02,,,1,,,,,,,,,,,,,,,,,,,
79,up,37.02,37.34,,,1,,,,,,,,,,,,,,,,,,,
80,around,37.34,37.62,,,1,,,,,,,,,,,,,,,,,,,
81,him,37.62,37.84,,,1,,,,,,,,,,,,,,,,,,,
82,like,37.84,38.04,,,1,,,,,,,,,,,,,,,,,,,
83,a,38.04,38.22,,,1,,,,,,,,,,,,,,,,,,,
84,big,38.22,38.56,,,1,,,,,,,,,,,,,,,,,,,
85,skirt.,38.56,39.14,,,1,,,,,,,,,,,,,,,,,,,
86,At,39.9,40.16,,,1,,,,,,,,,,,,,,,,,,,
87,least,40.16,40.34,,,1,,,,,,,,,,,,,,,,,,,
88,this,40.34,40.62,,,1,,,,,,,,,,,,,,,,,,,
89," way,",40.62,40.8,,,1,,,,,,,,,,,,,,,,,,,
90,the,40.88,40.96,,,1,,,,,,,,,,,,,,,,,,,
91,waves,40.96,41.22,,,1,,,,,,,,,,,,,,,,,,,
92,won't,41.22,41.56,,,1,,,,,,,,,,,,,,,,,,,
93,push,41.56,41.86,,,1,,,,,,,,,,,,,,,,,,,
94,him,41.86,42,,,1,,,,,,,,,,,,,,,,,,,
95,around.,42,42.38,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
