,Word,Start_time,End_time,Log_Freq_HAL,gpt_window=300,WordRate
0,What,1.48,2.12,,,1
1,a,2.12,2.32,,,1
2,great,2.32,2.84,,,1
3,day,2.84,3.2,,,1
4,for,3.2,3.46,,,1
5,a,3.46,3.68,,,1
6,bicycle,3.68,4.16,,,1
7,ride!,4.16,4.7,,,1
8,Mouse,5.7,5.94,,,1
9,rides,5.94,6.46,,,1
10,until,6.46,6.76,,,1
11,he,6.76,6.98,,,1
12,sees,6.98,7.34,,,1
13,his,7.34,7.62,,,1
14,tire,7.62,8.12,,,1
15,is,8.12,8.44,,,1
16,flat.,8.44,8.76,,,1
17,Oh,10.08,10.5,,,1
18,no!,10.5,11.02,,,1
19,How,11.36,11.88,,,1
20,can,11.88,12.1,,,1
21,he,12.1,12.28,,,1
22,ride,12.28,12.58,,,1
23,with,12.58,12.76,,,1
24,a,12.76,12.92,,,1
25,flat,12.92,13.18,,,1
26,tire?,13.18,13.58,,,1
27,Good,14.58,15.12,,,1
28,thing,15.12,15.38,,,1
29,Mouse,15.38,15.7,,,1
30,has,15.7,15.94,,,1
31,his,15.94,16.18,,,1
32,bicycle,16.18,16.64,,,1
33,pump.,16.64,17.12,,,1
34,He,17.74,18.04,,,1
35,pulls,18.04,18.48,,,1
36,it,18.48,18.64,,,1
37,out,18.64,18.88,,,1
38,and,18.88,19.04,,,1
39,pumps,19.04,19.6,,,1
40,up,19.6,19.88,,,1
41,the,19.88,20.12,,,1
42,flat,20.12,20.42,,,1
43,tire.,20.42,20.78,,,1
44,It,21.42,21.92,,,1
45,grows,21.92,22.2,,,1
46,bigger,22.2,22.76,,,1
47,and,22.76,23.08,,,1
48,bigger,23.08,23.42,,,1
49,until,23.42,24.3,,,1
50,it,24.3,24.52,,,1
51,pops!,24.52,25.14,,,1
52,There,26.28,26.76,,,1
53,is,26.76,26.92,,,1
54,no,26.92,27.32,,,1
55,way,27.32,27.52,,,1
56,to,27.52,27.72,,,1
57,fix,27.72,27.94,,,1
58,the,27.94,28.14,,,1
59,tire,28.14,28.42,,,1
60,now.,28.42,28.88,,,1
61,Mouse,29.96,30.64,,,1
62,has,30.64,30.88,,,1
63,an,30.88,31.1,,,1
64,idea,31.1,31.46,,,1
65,and,31.46,32.2,,,1
66,he,32.2,32.36,,,1
67,pulls,32.36,33.12,,,1
68,the,33.12,33.34,,,1
69,wheel,33.34,33.54,,,1
70,off.,33.54,34.02,,,1
71,He,34.62,34.82,,,1
72,takes,34.82,35.1,,,1
73,off,35.1,35.3,,,1
74,the,35.3,35.5,,,1
75,chain,35.5,35.84,,,1
76,and,35.84,36.1,,,1
77,the,36.1,36.28,,,1
78,handlebars,36.28,36.9,,,1
79,too.,36.9,37.32,,,1
80,Some,38.3,38.68,,,1
81,magic,38.68,39.06,,,1
82,and,39.06,39.78,,,1
83,voila!,39.78,40.4,,,1
84,A,41.04,41.28,,,1
85,new,41.28,41.54,,,1
86,set,41.54,41.88,,,1
87,of,41.88,42.1,,,1
88,wheels.,42.1,42.46,,,1
89,What,43.52,43.72,,,1
90,a,43.72,43.94,,,1
91,great,43.94,44.32,,,1
92,day,44.32,44.62,,,1
93,for,44.62,44.88,,,1
94,a,44.88,45.04,,,1
95,unicycle,45.04,45.74,,,1
96,ride!,45.74,46.16,,,1
